1;41;Жим штанги лежа 20кг;Работа с меняющимся весом;5
2;42;Отжимания от пола 20 раз;Работа с собственным весом;5
3;43;Отжимания на брусьях 10 раз;Работа с собственным весом;5
4;44;Разведение гантелей лежа 10кг;Работа с меняющимся весом;5
5;45;Жим гантелей на наклонной скамье 10кг;Работа с меняющимся весом;5
6;21;Подъем штанги на бицепс стоя 20кг;Работа с меняющимся весом;1
7;22;Подъем гантелей на бицепс сидя на наклонной скамье 8кг;Работа с меняющимся весом;1
8;23;Сгибание рук с гантелями хватом  «Молоток» 8кг;Работа с меняющимся весом;1
9;46;Жим штанги узким хватом 20кг;Работа с меняющимся весом;6
10;47;Французский жим со штангой лежа 20кг;Работа с меняющимся весом;6
11;48;Разгибания рук на блоке 10кг;Работа с меняющимся весом;6
12;24;Жим штанги стоя 15кг;Работа с меняющимся весом;2
13;25;Жим штанги из-за головы 10кг;Работа с меняющимся весом;2
14;26;Жим гантелей сидя 8кг;Работа с меняющимся весом;2
15;27;Жим Арнольда 10кг;Работа с меняющимся весом;2
16;28;Подъемы гантелей через стороны 8кг;Работа с меняющимся весом;2
17;29;Тяга штанги к подбородку 10кг;Работа с меняющимся весом;2
18;35;Приседания со штангой 30кг;Работа с меняющимся весом;4
19;36;Гиперэкстензия 20 раз;Работа с собственным весом;4
20;37;Жим ногами 50кг;Работа с меняющимся весом;4
21;38;Выпады с гантелями 20кг;Работа с меняющимся весом;4
22;39;Разгибания ног в тренажёре 15кг;Работа с меняющимся весом;4
23;40;Сгибания ног в тренажёре 10кг;Работа с меняющимся весом;4
24;30;Становая тяга 15кг;Работа с меняющимся весом;3
25;31;Тяга штанги в наклоне 20кг;Работа с меняющимся весом;3
26;32;Тяга гантели в наклоне 8кг;Работа с меняющимся весом;3
27;33;Тяга верхнего блока к груди 10кг;Работа с меняющимся весом;3
28;34;Тяга нижнего блока к животу 10кг;Работа с меняющимся весом;3
29;49;Бег 10 минут;Работа с собственным весом;7
30;108;Прыжки со скакалкой;Работа с собственным весом;8
31;109;Скалолаз;Работа с собственным весом;8
32;110;Прыжки на месте с высоко поднятыми коленями;Работа с собственным весом;8
33;111;Прыжки из положения сидя;Работа с собственным весом;8
34;112;Бёрпи;Работа с собственным весом;8
35;70;Жим штанги лежа 20кг;Работа с меняющимся весом;5
36;71;Отжимания от пола 20 раз;Работа с собственным весом;5
37;72;Отжимания на брусьях 10 раз;Работа с собственным весом;5
38;73;Разведение гантелей лежа 10кг;Работа с меняющимся весом;5
39;74;Жим гантелей на наклонной скамье 10кг;Работа с меняющимся весом;5
40;50;Подъем штанги на бицепс стоя 20кг;Работа с меняющимся весом;1
41;51;Подъем гантелей на бицепс сидя на наклонной скамье 8кг;Работа с меняющимся весом;1
42;52;Сгибание рук с гантелями хватом  «Молоток» 8кг;Работа с меняющимся весом;1
43;75;Жим штанги узким хватом 20кг;Работа с меняющимся весом;6
44;76;Французский жим со штангой лежа 20кг;Работа с меняющимся весом;6
45;77;Разгибания рук на блоке 10кг;Работа с меняющимся весом;6
46;53;Жим штанги стоя 15кг;Работа с меняющимся весом;2
47;54;Жим штанги из-за головы 10кг;Работа с меняющимся весом;2
48;55;Жим гантелей сидя 8кг;Работа с меняющимся весом;2
49;56;Жим Арнольда 10кг;Работа с меняющимся весом;2
50;57;Подъемы гантелей через стороны 8кг;Работа с меняющимся весом;2
51;58;Тяга штанги к подбородку 10кг;Работа с меняющимся весом;2
52;64;Приседания со штангой 30кг;Работа с меняющимся весом;4
53;65;Гиперэкстензия 20 раз;Работа с собственным весом;4
54;66;Жим ногами 50кг;Работа с меняющимся весом;4
55;67;Выпады с гантелями 20кг;Работа с меняющимся весом;4
56;68;Разгибания ног в тренажёре 15кг;Работа с меняющимся весом;4
57;69;Сгибания ног в тренажёре 10кг;Работа с меняющимся весом;4
58;59;Становая тяга 15кг;Работа с меняющимся весом;3
59;60;Тяга штанги в наклоне 20кг;Работа с меняющимся весом;3
60;61;Тяга гантели в наклоне 8кг;Работа с меняющимся весом;3
61;62;Тяга верхнего блока к груди 10кг;Работа с меняющимся весом;3
62;63;Тяга нижнего блока к животу 10кг;Работа с меняющимся весом;3
63;78;Бег 10 минут;Работа с собственным весом;7
64;113;Прыжки со скакалкой;Работа с собственным весом;8
65;114;Скалолаз;Работа с собственным весом;8
66;115;Прыжки на месте с высоко поднятыми коленями;Работа с собственным весом;8
67;116;Прыжки из положения сидя;Работа с собственным весом;8
68;117;Бёрпи;Работа с собственным весом;8
69;99;Жим штанги лежа 20кг;Работа с меняющимся весом;5
70;100;Отжимания от пола 20 раз;Работа с собственным весом;5
71;101;Отжимания на брусьях 10 раз;Работа с собственным весом;5
72;102;Разведение гантелей лежа 10кг;Работа с меняющимся весом;5
73;103;Жим гантелей на наклонной скамье 10кг;Работа с меняющимся весом;5
74;79;Подъем штанги на бицепс стоя 20кг;Работа с меняющимся весом;1
75;80;Подъем гантелей на бицепс сидя на наклонной скамье 8кг;Работа с меняющимся весом;1
76;81;Сгибание рук с гантелями хватом  «Молоток» 8кг;Работа с меняющимся весом;1
77;104;Жим штанги узким хватом 20кг;Работа с меняющимся весом;6
78;105;Французский жим со штангой лежа 20кг;Работа с меняющимся весом;6
79;106;Разгибания рук на блоке 10кг;Работа с меняющимся весом;6
80;82;Жим штанги стоя 15кг;Работа с меняющимся весом;2
81;83;Жим штанги из-за головы 10кг;Работа с меняющимся весом;2
82;84;Жим гантелей сидя 8кг;Работа с меняющимся весом;2
83;85;Жим Арнольда 10кг;Работа с меняющимся весом;2
84;86;Подъемы гантелей через стороны 8кг;Работа с меняющимся весом;2
85;87;Тяга штанги к подбородку 10кг;Работа с меняющимся весом;2
86;93;Приседания со штангой 30кг;Работа с меняющимся весом;4
87;94;Гиперэкстензия 20 раз;Работа с собственным весом;4
88;95;Жим ногами 50кг;Работа с меняющимся весом;4
89;96;Выпады с гантелями 20кг;Работа с меняющимся весом;4
90;97;Разгибания ног в тренажёре 15кг;Работа с меняющимся весом;4
91;98;Сгибания ног в тренажёре 10кг;Работа с меняющимся весом;4
92;88;Становая тяга 15кг;Работа с меняющимся весом;3
93;89;Тяга штанги в наклоне 20кг;Работа с меняющимся весом;3
94;90;Тяга гантели в наклоне 8кг;Работа с меняющимся весом;3
95;91;Тяга верхнего блока к груди 10кг;Работа с меняющимся весом;3
96;92;Тяга нижнего блока к животу 10кг;Работа с меняющимся весом;3
97;107;Бег 10 минут;Работа с собственным весом;7
98;118;Прыжки со скакалкой;Работа с собственным весом;8
99;119;Скалолаз;Работа с собственным весом;8
100;120;Прыжки на месте с высоко поднятыми коленями;Работа с собственным весом;8
101;121;Прыжки из положения сидя;Работа с собственным весом;8
102;122;Бёрпи;Работа с собственным весом;8
